Core ID:,ID,Latitude,Longitude,Length (cm),Magnetic Test,Imaging,Water Depth(m),Collection Date (yyyymmdd),Max Value Initial MS Test,Ms Weight (mg) 10-32um,Ms Testing 10-32 um (10-6),Ms Weight (mg) <2 um,Ms Testing <2 um (10-6),Ms Weight (mg) >63 um,Ms Testing >63 um (10-6),Ms Weight (mg) 32-63 um,Ms Testing 32-63 um (10-6),Notes
ED63-01PC-1A,1A,67.5,-18.833,26,X,X,475,19630728,187,131.1,51.4067,130.8,3.81867,124.4,17.9933,70.8,21.11,Small Core
ED63-01PC-1W,1W,67.5,-18.833,26,X,X,475,19630728,122,,,,,,,,,
ED63-02PC-1A,2,67,-17.5,114,X,X,276,19630728,1016,116.1,71.0967,130.1,9.17167,131.1,52.4,50.6,19.6467,
ED63-03PC-1A,3,67,-15,31,X,X,181,19630728,599,73,31.05,132.2,11.5433,116.8,58.2967,131.2,73.65,Small Core
ED63-05PC-1A,5,67.15,-9.833,150,X,X,1463,19630729,159,69.9,14.5933,109.1,2.55267,79.6,6.775,58.3,7.58033,Multiple tests performed to try and calibrate machine
ED63-06PC-1A,6,68,-9.855,139,X,X,1920,19630729,219,105.4,39.4933,,,112.9,6.49467,87.8,12.8667,
ED63-07PC-1A,7,68,-7.5,125,X,X,1792,19630730,183,105.1,34.3733,94,1.66167,108.4,3.677,92.8,11.38,Small Core
ED63-08PC-1A,8,67,-7.5,119,X,X,1920,19630730,88,77.6,22.9533,,,105.3,5.92733,81.3,12.7033,
ED63-10PC-1A,10,68.567,-1.433,86,X,X,3100,19630731,81,126.4,10.4967,151.9,5.09,35,0.805667,,,
ED63-11PC-1A,11,68,0,107,X,X,3018,19630731,58,131.9,23.38,114.2,6.995,95.2,4.755,77.2,4.957,
ED63-12PC-1A,12,69,0,92,X,X,3018,19630801,58,89.7,8.031,145,0.489,75.1,4.71133,113.1,6.01667,
ED63-13PC-1A,13,69,-2.5,127,X,X,3018,19630801,44,161.1,8.244,146.6,2.40633,81.9,1.35967,30.4,1.42133,
ED63-14PC-1A,14,69,-5,147,X,X,,19630801,210,84,9.902,98.6,3.863,162.3,45.07,153.5,24.8967,Small Core
ED63-15PC-1A,15,69,-7.5,78,X,X,2560,19630801,99,111.5,24.7767,,,97.9,1.49467,127.3,19,
ED63-16PC-1A,16,69.5,-8.5,157,X,X,786,19630802,354,142.5,110.133,112.4,6.66567,89,12.5167,119.4,38.7567,
ED63-17PC-1A,17,69,-10,113,X,X,2200,19630802,51,109.7,16.5167,,,109.4,2.77767,96.5,7.85767,
ED63-18PC-1A,18,69.5,-11.25,134,X,X,3146,19630802,62,131.7,22.0067,,,124.8,7.25167,110.7,11.2367,Small Core
ED63-19PC-1A,19,70,-10,112,X,X,1646,19630803,106,89,37.8167,128.2,5.811,111,24.3067,123,18.7233,
ED63-21PC-1A,21,70,-7.5,66,X,X,1463,19630803,174,116.6,52.6033,,,143.8,27.4933,124.7,27.9867,Small Core
ED63-22PC-1A,22,70.5,-6.25,84,X,X,2670,19630803,154,93,22.3067,158.6,7.912,162.5,13.1767,142.5,26.9867,
ED63-24PC-1A,24,70,-2.5,120,X,X,2652,19630804,55,102.7,9.823,143.3,5.93067,123.5,2.50933,133.7,8.106,
ED63-25PC-1W,25,70,0,159,X,X,3281,19630804,12,118.5,6.691,190.6,0.173667,41.6,1.28633,14.3,0.609,No Archive Half
ED63-27PC-1A,27,71,-2.5,119,X,X,2469,19630805,87,112.3,7.62333,,,156.9,2.139,96.5,4.49167,
ED63-28PC-1A,28,71,-5,70,X,X,1373,19630805,125,144.7,53.71,140.8,6.39867,115.6,5.03133,68.3,4.51067,
ED63-29PC-1A,29,71,-7.5,75,X,X,,19630805,732,179.6,134.633,131.6,3.70567,134.6,77.67,180.9,101.933,
ED63-30PC-1A,30,71,-10,139,X,X,1097,19630805,310,130.9,81.7,,,109,53.56,125.5,50.4967,
ED63-32PC-1A,32,71,-13,138,X,X,914,19630806,65,152.4,24.1133,160.3,4.725,99.8,8.917,134,15.49,
ED63-34PC-1A,34,71,-19.25,83,X,X,1006,19630806,176,163.7,8.12033,,,192.2,10.55,173.5,7.584,
ED63-35PC-1A,35,70.5,-18.75,98,X,X,1554,19630807,275,188.9,8.25767,,,210.7,13.9367,211.2,,
ED63-36PC-1A,36,70.505,-16,124,X,X,914,19630807,53,113.8,5.732,127.4,4.81367,161.1,7.22967,186.9,,
ED63-37PC-1A,37,70.55,-13.217,88,X,X,1280,19630807,95,125.1,22.1967,,,134.7,12.3233,142.7,,
ED63-38PC-1A,38,70.5,-11.25,140,X,X,1463,19630807,154,120.4,61.14,135.8,5.20967,132.6,38.64,93.9,,
ED63-39PC-1A,39,70,-12.5,127,X,X,1792,19630807,62,95.4,18.45,138.1,4.488,121.5,4.38067,98.9,,
ED63-40PC-1A,40,70,-15,128,X,X,1024,19630808,88,113.6,15.28,167.2,5.35067,161.5,14.7067,104.7,,
ED63-41PC-1A,41,70,-17.5,104,X,X,1646,19630808,143,128.4,5.61167,169.8,6.95133,220.1,7.02667,163.6,,
ED63-42PC-1A,42,69.5,-20.917,40,X,X,338,19630808,55,151.5,9.81,173.5,7.515,98.8,10.6233,199.7,,
ED63-44PC-1A,44,69.5,-21.667,114,X,X,1134,19630808,379,152.4,42.33,147.3,8.76633,161.9,19.8533,183.8,,Small Core
ED63-45PC-1A,45,69,-20,94,X,X,1342,19630809,356,139.4,14.8933,178.7,7.42633,130.9,11.6567,83.9,,
ED63-47PC-1A,47,69,-17.5,126,X,X,1554,19630810,291,134.8,27.9433,131,5.00667,89.7,10.9433,105,,
ED63-48PC-1A,48,69.5,-16.25,133,X,X,,19630810,63,93.2,15.9533,,,111,9.86867,112.7,,
ED63-49PC-1A,49,69,-14.3,89,X,X,1609,19630810,82,107.2,15.8933,97.1,4.32733,151,9.97733,122,,
ED63-50PC-1A,50,69.5,-13.75,82,X,X,1645,19630810,52,94.7,15.96,,,,,111.7,,
ED63-51PC-1A,51,69,-12.5,81,X,X,1970,19630810,49,135.9,11.7367,138.4,3.07933,158.3,5.13633,101.4,,
ED63-52PC-1A,52,68,-12.5,77,X,X,1920,19630811,64,97.5,16.7033,116,3.66833,92.1,3.97767,100.2,,
ED63-53PC-1A,53,68,-15,94,X,X,2103,19630811,427,95.5,31.0867,,,119.5,30.5167,108,,
ED63-54PC-1A,54,68,-17.5,35,X,X,1280,19630811,72,138.6,13.23,167.6,7.03367,145.1,4.49933,170.3,,
ED63-55PC-1A,55,68,-20,113,X,X,1189,19630811,375,132.8,18.88,164.3,8.10333,124.2,14.4467,158.8,,
ED63-60PC-1A,60,66.033,-9.867,110,X,X,1372,19630815,1138,102.5,40.31,,,102.2,23.8267,122.8,,
ED63-61PC-1A,61,65.75,-7.9,38,X,X,1280,19630815,179,76.7,19.53,,,102.6,13.9367,87.5,,Small Core
ED63-62PC-1A,62,66,-5,96,X,X,3292,19630815,72,111.1,17.8433,,,121.6,3.55933,113.2,,
ED63-63PC-1A,63,67,-2.5,124,X,X,3658,19630816,25,70,7.22067,125,6.35333,106.4,2.371,104.3,,
ED63-64PC-1A,64,67,0,33,X,X,3658,19630816,151,92.2,10.7433,,,,,135.2,,Small Core
ED63-66PC-1A,66,,,55,X,X,?,?,76,86.2,18.41,,,129,7.35733,109.7,,Not on Map
ED63-67PC-1A,67,65,4,127,X,X,1463,19630817,110,,,,,,,107.6,,Small Core
ED63-68PC-1A,68,64.5,6.5,49,X,X,347,19630818,37,,,,,209.9,4.446,192.3,,
ED63-69PC-1A,69,64,8,42,X,X,311,19630818,100,,,,,185.4,5.462,171.3,,
ED63-71PC-1A,71,64,4,53,X,X,1646,19630818,82,103.4,17.5033,151.7,7.10833,201.3,19.0233,131.7,,
ED63-72PC-1A,72,64.5,2,40,X,X,2743,19630819,62,71.4,17.0133,156.7,5.26533,140.7,6.027,100,,Small Core
ED63-73PC-1A,73,65,0,89,X,X,,19630819,95,74.1,17.85,,,141.3,9.40467,102.6,,
ED63-74PC-1A,74,65,-2.5,43,X,X,2771,19630819,68,72.1,10.0683,,,92.5,2.985,83.2,,
ED63-76PC-1A,76,65,-7.5,33,X,X,2332,19630820,99,,,,,,,143.3,,
ED63-77PC-1A,77,65,-10,37,X,X,768,19630820,580,126.8,71.1733,87.3,5.37567,142.5,58.0767,136,,
ED63-82PC-1A,82,64,-7.5,35,X,X,1554,19630822,214,98.3,51.2267,113.6,7.08067,103.6,32.4867,131,,
ED63-83PC-1A,83,64,-5,81,X,X,3475,19630822,225,86.4,15.9967,127.1,5.98567,127.1,10.475,98.7,,
ED63-84PC-1A,84,64,-2.5,24,X,X,3292,19630822,96,89.2,20.6933,,,120.1,12.8133,102.2,,
ED63-86PC-1A,86,63,0,93,X,X,1646,19630823,295,110,22.4,153.6,11.3567,122.3,10.98,132.2,,Small Core
ED63-87PC-1A,87,63,-2.5,156,X,X,2012,19630823,178,94,50.0567,125.8,9.667,97.8,31.1233,118.6,,
ED63-88PC-1A,88,63,-5,126,X,X,2024,19630823,220,99.8,45.95,107.3,7.542,154.2,31.59,139,,
ED63-93PC-1A,93,61.167,-4,55,X,X,1189,19630825,607,124.1,46.31,148.9,3.26267,171.1,8.10533,204.9,,
ED63-94PC-1A,94,60.917,-3,126,X,X,814,19630825,1079,123.6,42.8967,137.7,4.484,176.1,11.6667,175.8,,
ED63-96PC-1A,96,61.567,-2.067,114,X,X,1474,19630825,350,174.7,72.1533,131.6,5.172,221.1,27.2933,160.1,,
ED63-97PC-1A,97,62,-2,93,X,X,1189,19630825,314,90,39.47,143,6.801,83.7,15.06,92.1,,
,,,,,,,,,,,,,,,,,,
